Phi[deg],Theta[deg],RealizedGainTotal
-146,6,0.738587
-144,6,0.738813
-142,6,0.739061
-140,6,0.73933
-138,6,0.739622
-136,6,0.73994
-134,6,0.740284
-132,6,0.740657
-130,6,0.741062
-128,6,0.741499
-126,6,0.741972
-124,6,0.742483
-122,6,0.743034
-120,6,0.743627
-118,6,0.744266
-116,6,0.744951
-114,6,0.745686
-112,6,0.746473
-110,6,0.747313
-108,6,0.748208
-106,6,0.74916
-104,6,0.75017
-102,6,0.751239
-100,6,0.752368
-98,6,0.753558
-96,6,0.754808
-94,6,0.75612
-92,6,0.757492
-90,6,0.758923
-88,6,0.760414
-86,6,0.761962
-84,6,0.763566
-82,6,0.765224
-80,6,0.766934
-78,6,0.768693
-76,6,0.770497
-74,6,0.772345
-72,6,0.774232
-70,6,0.776155
-68,6,0.77811
-66,6,0.780092
-64,6,0.782097
-62,6,0.784121
-60,6,0.786159
-58,6,0.788206
-56,6,0.790257
-54,6,0.792307
-52,6,0.794352
-50,6,0.796386
-48,6,0.798404
-46,6,0.800401
-44,6,0.802373
-42,6,0.804315
-40,6,0.806222
-38,6,0.80809
-36,6,0.809915
-34,6,0.811692
-32,6,0.813418
-30,6,0.815088
-28,6,0.816701
-26,6,0.818252
-24,6,0.81974
-22,6,0.82116
-20,6,0.822511
-18,6,0.823791
-16,6,0.824998
-14,6,0.826131
-12,6,0.827188
-10,6,0.828167
-8,6,0.829069
-6,6,0.829893
-4,6,0.830638
-2,6,0.831304
0,6,0.831891
2,6,0.832398
4,6,0.832827
6,6,0.833178
8,6,0.83345
10,6,0.833645
12,6,0.833764
14,6,0.833806
16,6,0.833773
18,6,0.833666
20,6,0.833485
22,6,0.833232
24,6,0.832907
26,6,0.832512
28,6,0.832047
30,6,0.831514
32,6,0.830914
34,6,0.830248
36,6,0.829518
38,6,0.828723
40,6,0.827867
42,6,0.826949
44,6,0.825972
46,6,0.824937
48,6,0.823845
50,6,0.822699
52,6,0.821498
54,6,0.820246
56,6,0.818943
58,6,0.817592
60,6,0.816195
62,6,0.814753
64,6,0.813269
66,6,0.811744
68,6,0.81018
70,6,0.808581
72,6,0.806948
74,6,0.805283
76,6,0.80359
78,6,0.80187
80,6,0.800126
82,6,0.798361
84,6,0.796577
86,6,0.794777
88,6,0.792965
90,6,0.791142
92,6,0.789312
94,6,0.787477
96,6,0.78564
98,6,0.783805
100,6,0.781975
102,6,0.780151
104,6,0.778338
106,6,0.776537
108,6,0.774753
110,6,0.772987
112,6,0.771243
114,6,0.769524
116,6,0.767831
118,6,0.766169
120,6,0.764539
122,6,0.762943
124,6,0.761386
126,6,0.759867
128,6,0.758391
130,6,0.756958
132,6,0.755571
134,6,0.754232
136,6,0.752942
138,6,0.751702
140,6,0.750514
142,6,0.749379
144,6,0.748297
146,6,0.74727
148,6,0.746298
150,6,0.745381
152,6,0.744519
154,6,0.743713
156,6,0.742961
158,6,0.742263
160,6,0.741618
162,6,0.741025
164,6,0.740484
166,6,0.739993
168,6,0.73955
170,6,0.739154
172,6,0.738803
174,6,0.738495
176,6,0.738228
178,6,0.738
180,6,0.73781
-180,8,0.721769
-178,8,0.721645
-176,8,0.721556
-174,8,0.721497
-172,8,0.721463
-170,8,0.72145
-168,8,0.721454
-166,8,0.721472
-164,8,0.721498
-162,8,0.721532
-160,8,0.721569
-158,8,0.721608
-156,8,0.721647
-154,8,0.721685
-152,8,0.721722
-150,8,0.721758
-148,8,0.721794
-146,8,0.721831
-144,8,0.721871
-142,8,0.721916
-140,8,0.72197
-138,8,0.722035
-136,8,0.722117
-134,8,0.722219
-132,8,0.722347
-130,8,0.722505
-128,8,0.722699
-126,8,0.722933
-124,8,0.723215
-122,8,0.72355
-120,8,0.723944
-118,8,0.724401
-116,8,0.724929
-114,8,0.725532
-112,8,0.726216
-110,8,0.726986
-108,8,0.727845
-106,8,0.728799
-104,8,0.729852
-102,8,0.731005
-100,8,0.732264
-98,8,0.733628
-96,8,0.735101
-94,8,0.736683
-92,8,0.738375
-90,8,0.740175
-88,8,0.742085
-86,8,0.744101
-84,8,0.746223
-82,8,0.748446
-80,8,0.750768
-78,8,0.753184
-76,8,0.75569
-74,8,0.758281
-72,8,0.76095
-70,8,0.763691
-68,8,0.766497
-66,8,0.769362
-64,8,0.772277
-62,8,0.775234
-60,8,0.778226
-58,8,0.781242
-56,8,0.784276
-54,8,0.787317
-52,8,0.790357
-50,8,0.793388
-48,8,0.796399
-46,8,0.799383
-44,8,0.802331
-42,8,0.805235
-40,8,0.808086
-38,8,0.810878
-36,8,0.813603
-34,8,0.816254
-32,8,0.818825
-30,8,0.82131
-28,8,0.823704
-26,8,0.826003
-24,8,0.828202
-22,8,0.830298
-20,8,0.832287
-18,8,0.834168
-16,8,0.835937
-14,8,0.837595
-12,8,0.839139
-10,8,0.840569
-8,8,0.841885
-6,8,0.843087
-4,8,0.844176
-2,8,0.845153
0,8,0.846018
2,8,0.846772
4,8,0.847418
6,8,0.847956
8,8,0.848388
10,8,0.848715
12,8,0.84894
14,8,0.849063
16,8,0.849087
18,8,0.849013
20,8,0.848842
22,8,0.848576
24,8,0.848216
26,8,0.847764
28,8,0.847221
30,8,0.846587
32,8,0.845865
34,8,0.845056
36,8,0.84416
38,8,0.843179
40,8,0.842114
42,8,0.840966
44,8,0.839737
46,8,0.838427
48,8,0.837039
50,8,0.835574
52,8,0.834034
54,8,0.832419
56,8,0.830733
58,8,0.828977
60,8,0.827153
62,8,0.825264
64,8,0.823312
66,8,0.821299
68,8,0.819229
70,8,0.817104
72,8,0.814927
74,8,0.812702
76,8,0.810431
78,8,0.808118
80,8,0.805766
82,8,0.80338
84,8,0.800963
86,8,0.798518
88,8,0.796051
90,8,0.793564
92,8,0.791061
94,8,0.788548
96,8,0.786029
98,8,0.783506
100,8,0.780986
102,8,0.778472
104,8,0.775968
106,8,0.77348
108,8,0.771011
110,8,0.768565
112,8,0.766148
114,8,0.763763
116,8,0.761415
118,8,0.759108
120,8,0.756846
122,8,0.754634
124,8,0.752474
126,8,0.750371
128,8,0.748329
130,8,0.74635
132,8,0.744439
134,8,0.742598
136,8,0.74083
138,8,0.739138
140,8,0.737523
142,8,0.735989
144,8,0.734536
146,8,0.733165
148,8,0.731878
150,8,0.730675
152,8,0.729556
154,8,0.728521
156,8,0.727569
158,8,0.726698
160,8,0.725908
162,8,0.725196
164,8,0.724559
166,8,0.723995
168,8,0.7235
170,8,0.723071
172,8,0.722704
174,8,0.722395
176,8,0.722139
178,8,0.721932
180,8,0.721769
