"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []","dB(RealizedGainTotal) []"
2,90,-141,-8.69940630093684,-30.2418404017632,-8.66906578286969
2,90,-140,-8.88597621857924,-31.1201629163972,-8.86008987676258
2,90,-139,-9.08240624961987,-32.0334901249531,-9.06044901716796
2,90,-138,-9.28805140379143,-32.9368381111849,-9.26934587334377
2,90,-137,-9.50213872429036,-33.7487239299322,-9.48583411840943
2,90,-136,-9.72375953698984,-34.3483607695205,-9.70881176086005
2,90,-135,-9.95185946877355,-34.6061908176608,-9.937013495776
2,90,-134,-10.1852261629352,-34.4534263518785,-10.1690023530173
2,90,-133,-10.4224748753093,-33.9320122259467,-10.4031612173684
2,90,-132,-10.6620325115023,-33.1631845686398,-10.6376851911064
2,90,-131,-10.9021211873229,-32.2748874678967,-10.8705762635446
2,90,-130,-11.1407430737432,-31.359522121234,-11.0996423236054
2,90,-129,-11.3756691114407,-30.470564954298,-11.3225031445132
2,90,-128,-11.6044350900535,-29.6341906096099,-11.5366064804192
2,90,-127,-11.8243494568845,-28.8607014489278,-11.739257683128
2,90,-126,-12.0325178324963,-28.1520719185292,-11.9276660623974
2,90,-125,-12.2258892555042,-27.5062440589671,-12.0990103450135
2,90,-124,-12.4013282821683,-26.9194099673519,-12.2505238510949
2,90,-123,-12.5557148819742,-26.3871760073033,-12.3795973605967
2,90,-122,-12.6860704377293,-25.9051344350873,-12.4838943029312
2,90,-121,-12.7897033014264,-25.4691283108761,-12.5614694072109
2,90,-120,-12.8643620400775,-25.0753604058542,-12.6108791293968
2,90,-119,-12.9083800239936,-24.7204245585174,-12.631270958048
2,90,-118,-12.9207929009409,-24.4013000324643,-12.6224398073742
2,90,-117,-12.9014119889181,-24.1153296454624,-12.5848432930737
2,90,-116,-12.8508420043871,-23.8601921150589,-12.5195731705524
2,90,-115,-12.7704398465402,-23.6338736830051,-12.4282863811412
2,90,-114,-12.6622203391695,-23.4346412937625,-12.3131045444084
2,90,-113,-12.528722511544,-23.2610181878515,-12.1764941652236
2,90,-112,-12.3728543699515,-23.1117620850944,-12.0211407520769
2,90,-111,-12.1977345453989,-22.9858458336929,-11.8498286652427
2,90,-110,-12.00654629844,-22.882440304659,-11.665335567768
2,90,-109,-11.8024144914562,-22.8008993175792,-11.4703467756089
2,90,-108,-11.5883108179081,-22.7407464385524,-11.2673914156317
2,90,-107,-11.3669879735642,-22.7016635648651,-11.0587996263399
2,90,-106,-11.140940176548,-22.6834812880805,-10.846678277793
2,90,-105,-10.9123855926438,-22.6861711005359,-10.6329017970716
2,90,-104,-10.6832655719793,-22.7098395776585,-10.4191144775211
2,90,-103,-10.4552557891447,-22.754724731252,-10.2067408956149
2,90,-102,-10.229785041187,-22.8211947905869,-9.99700155151315
2,90,-101,-10.0080583131765,-22.9097497341939,-9.7909314313275
2,90,-100,-9.79108158104243,-23.0210259729317,-9.58939975856976
2,90,-99,-9.57968658205071,-23.1558046833107,-9.39312970334169
2,90,-98,-9.37455440184428,-23.3150244209185,-9.2027172279143
2,90,-97,-9.17623719888609,-23.499798822499,-9.01864856477333
2,90,-96,-8.98517772818053,-23.7114404527824,-8.8413160575472
2,90,-95,-8.80172656011962,-23.9514921981828,-8.67103226073697
2,90,-94,-8.62615704194693,-24.2217680970323,-8.50804230577027
2,90,-93,-8.4586781407076,-24.5244061893599,-8.35253461214708
2,90,-92,-8.2994453556918,-24.8619369661484,-8.20465006463971
2,90,-91,-8.14856990916361,-25.2373724504709,-8.06448979955192
2,90,-90,-8.00612642683156,-25.6543230913955,-7.93212175166266
2,90,-89,-7.8721593113203,-26.117152883851,-7.80758611357899
2,90,-88,-7.74668799781638,-26.6311880812514,-7.69089985425782
2,90,-87,-7.62971126437232,-27.2030026101331,-7.58206043578613
2,90,-86,-7.5212107521313,-27.8408156462211,-7.48104885867302
2,90,-85,-7.42115383420485,-28.5550569068855,-7.38783215685071
2,90,-84,-7.32949595673439,-29.3591884737782,-7.30236545481829
2,90,-83,-7.24618256203491,-30.2709274676513,-7.22459369109786
2,90,-82,-7.17115069162841,-31.3141051231528,-7.15445310438498
2,90,-81,-7.10433035621413,-32.5215347951127,-7.09187257127604
2,90,-80,-7.0456457498626,-33.9393890891718,-7.03677487693371
2,90,-79,-6.99501637654347,-35.6332068621127,-6.98907799210212
2,90,-78,-6.95235814803718,-37.6915106528521,-6.9486964210435
2,90,-77,-6.91758450284176,-40.1942148929522,-6.91554267473929
2,90,-76,-6.89060758537046,-42.9390101203379,-6.88952891158846
2,90,-75,-6.87133951307111,-44.379720080371,-6.87056877339348
2,90,-74,-6.85969374566799,-42.7668867625546,-6.85857942729184
2,90,-73,-6.85558655520889,-40.0044998550152,-6.85348380425079
2,90,-72,-6.85893857780442,-37.5229844610454,-6.85521300177327
2,90,-71,-6.86967640785498,-35.4865273486551,-6.86370879278092
2,90,-70,-6.88773417336233,-33.81239028845,-6.87892615473477
2,90,-69,-6.91305500704113,-32.4143225723334,-6.90083570369543
2,90,-68,-6.94559230304485,-31.2292125204162,-6.92942588823415
2,90,-67,-6.98531062410207,-30.2129403426245,-6.9647047691073
2,90,-66,-7.03218609982491,-29.3344484393422,-7.00670118370982
2,90,-65,-7.08620613515269,-28.5714806501079,-7.0554650708097
2,90,-64,-7.14736822966608,-27.9078001239231,-7.11106671203215
2,90,-63,-7.21567769519708,-27.3313889242996,-7.17359463278692
