"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []","dB(RealizedGainTotal) []"
2,0,76,-4.73142629158145,-13.1863325108238,-4.15199735516327
2,0,77,-4.72983547216276,-13.2608631168723,-4.15984159326747
2,0,78,-4.72718654891446,-13.2792010226822,-4.1597685435784
2,0,79,-4.72313841952281,-13.2471522609036,-4.15228124606919
2,0,80,-4.71736936320281,-13.1723850569527,-4.13795410012719
2,0,81,-4.70958068495894,-13.0635602655056,-4.11741696686212
2,0,82,-4.69950024529835,-12.9295277143745,-4.09133903801407
2,0,83,-4.68688577479588,-12.7787066778224,-4.06041312453759
2,0,84,-4.67152787430613,-12.6186901685608,-4.02534090200394
2,0,85,-4.65325260804434,-12.4560534088003,-3.9868195156153
2,0,86,-4.63192360819093,-12.2963171239487,-3.9455298103197
2,0,87,-4.60744362568657,-12.1440109575461,-3.9021263236976
2,0,88,-4.57975548165454,-12.0027907201959,-3.85722906955307
2,0,89,-4.54884239625546,-11.8755762644756,-3.81141705316975
2,0,90,-4.51472769534623,-11.764689160837,-3.7652233962729
2,0,91,-4.47747391856808,-11.6719788780984,-3.71913190958001
2,0,92,-4.43718137394944,-11.598932589025,-3.67357493044831
2,0,93,-4.39398620246951,-11.5467675871828,-3.62893223869645
2,0,94,-4.3480580302735,-11.5165073595875,-3.58553087113527
2,0,95,-4.29959729571386,-11.5090432570743,-3.54364567087274
2,0,96,-4.24883234287677,-11.5251839108349,-3.50350042774827
2,0,97,-4.19601637289937,-11.565694363212,-3.4652694886139
2,0,98,-4.14142433969481,-11.6313264890337,-3.42907973855983
2,0,99,-4.08534986844924,-11.7228417639725,-3.3950128751026
2,0,100,-4.02810226437103,-11.8410268063464,-3.36310791583252
2,0,101,-3.97000366665715,-11.9867013445598,-3.33336389546075
2,0,102,-3.91138638946544,-12.1607172611891,-3.30574272032992
2,0,103,-3.85259047871247,-12.3639459967308,-3.28017215719637
2,0,104,-3.79396150146831,-12.5972496458541,-3.25654893856818
2,0,105,-3.73584857412174,-12.8614282276127,-3.23474196933305
2,0,106,-3.67860262668275,-13.1571314038005,-3.21459561917698
2,0,107,-3.62257489373407,-13.4847167509088,-3.19593308281064
2,0,108,-3.56811561764655,-13.8440278675288,-3.17855978579171
2,0,109,-3.51557294661511,-14.2340536416537,-3.16226680833462
2,0,110,-3.46529200864725,-14.6524155711322,-3.14683429356223
2,0,111,-3.41761414257744,-15.0946172782931,-3.13203480084348
2,0,112,-3.37287626820248,-15.5529921178856,-3.11763655985185
2,0,113,-3.3314103794409,-16.015331956012,-3.1034065774197
2,0,114,-3.29354314674439,-16.4633327483352,-3.08911354773422
2,0,115,-3.25959561758932,-16.8713323290342,-3.07453051738502
2,0,116,-3.22988300655278,-17.2063628587923,-3.05943726053765
2,0,117,-3.20471456907361,-17.4310163069438,-3.04362232617424
2,0,118,-3.18439355540233,-17.5101952756802,-3.02688472879279
2,0,119,-3.16921724338199,-17.4205866923004,-3.0090352658336
2,0,120,-3.15947705054036,-17.1585186182305,-2.98989745882838
2,0,121,-3.15545872750541,-16.741249747816,-2.96930813007733
2,0,122,-3.15744263600115,-16.2007899903324,-2.94711764165181
2,0,123,-3.16570411567574,-15.5743527182352,-2.923189837726
2,0,124,-3.18051394480979,-14.8964461300418,-2.8974017437037
2,0,125,-3.2021389006081,-14.1948116605723,-2.869643085453
2,0,126,-3.23084242535817,-13.4896408905621,-2.83981569847947
2,0,127,-3.26688540530852,-12.7945570721372,-2.80783289955062
2,0,128,-3.31052706974839,-12.1181505604018,-2.77361889187976
2,0,129,-3.36202601852435,-11.4654355949512,-2.73710826949228
2,0,130,-3.42164138717756,-10.8390079080399,-2.6982456771085
2,0,131,-3.48963416009859,-10.239886445494,-2.65698566929552
2,0,132,-3.56626864364887,-9.66809538377081,-2.61329279748962
2,0,133,-3.65181411316996,-9.1230544039062,-2.56714193664901
2,0,134,-3.74654665028654,-8.60383507725599,-2.51851884575316
2,0,135,-3.85075119001269,-8.10932662920121,-2.46742093915363
2,0,136,-3.96472380102381,-7.63834146539527,-2.41385822992531
2,0,137,-4.08877422721511,-7.1896810951256,-2.35785439281461
2,0,138,-4.22322872453083,-6.76217620985155,-2.2994478839474
2,0,139,-4.36843323426366,-6.3547099991916,-2.23869304777447
2,0,140,-4.52475694290926,-5.96623066877184,-2.17566113919171
2,0,141,-4.69259628962262,-5.59575706634067,-2.11044119051111
2,0,142,-4.87237949588653,-5.24237997057726,-2.04314065883211
2,0,143,-5.0645717088516,-4.90526071034021,-1.97388579895433
2,0,144,-5.2696808708341,-4.58362820059302,-1.90282171962245
2,0,145,-5.48826445384066,-4.27677509961423,-1.83011209574783
2,0,146,-5.72093723128347,-3.98405354148005,-1.75593852532638
2,0,147,-5.96838030133778,-3.70487073319699,-1.68049953603969
2,0,148,-6.23135163046618,-3.43868459783567,-1.60400926198896
2,0,149,-6.51069845527432,-3.18499957428324,-1.5266958247831
2,0,150,-6.80737197122495,-2.94336263810754,-1.44879946457132
2,0,151,-7.12244485490784,-2.7133595781469,-1.37057047508261
2,0,152,-7.45713232235443,-2.49461154427163,-1.2922670020526
2,0,153,-7.81281763298701,-2.28677186963984,-1.21415276656209
2,0,154,-8.19108322643893,-2.08952316325654,-1.13649477397088
2,0,155,-8.59374905486726,-1.90257466412569,-1.05956106566576
2,0,156,-9.02292018512053,-1.72565984568928,-0.98361856523624
2,0,157,-9.48104644815572,-1.55853425786997,-0.908931063493604
2,0,158,-9.97099788529965,-1.40097359341019,-0.835757378526782
2,0,159,-10.4961610913266,-1.25277196503191,-0.764349718281338
2,0,160,-11.0605634307202,-1.11374038003532,-0.694952264437219
2,0,161,-11.6690346920433,-0.983705399191715,-0.627799988044468
2,0,162,-12.3274192367656,-0.862507967094973,-0.563117699761068
2,0,163,-13.0428561466455,-0.750002401475815,-0.501119330833692
2,0,164,-13.8241497212158,-0.6460555293334,-0.442007435295856
2,0,165,-14.6822552835194,-0.550545958091544,-0.385972899274611
2,0,166,-15.6308963492845,-0.463363470341687,-0.333194839782605
2,0,167,-16.6872786700162,-0.384408531095636,-0.283840672864468
2,0,168,-17.8726775294737,-0.313591896844307,-0.238066329371734
2,0,169,-19.2120300354722,-0.250834316111585,-0.196016595845278
2,0,170,-20.7295105793421,-0.1960663116114,-0.157825557867686
2,0,171,-22.43000915027,-0.149228034569031,-0.123617123689565
2,0,172,-24.2360612792585,-0.110269182258825,-0.0935056068186001
2,0,173,-25.8244085325682,-0.0791489703459628,-0.0675963474850878
2,0,174,-26.4944802689618,-0.055836152202492,-0.0459863543705541
2,0,175,-25.7887673733217,-0.040309078000564,-0.0287649496291845
2,0,176,-24.2164068592053,-0.0325557870698456,-0.0160144019794981
2,0,177,-22.4598929322382,-0.0325741277418771,-0.00781053444233465
2,0,178,-20.8192128013906,-0.0403718996915074,-0.00422329510815835
2,0,179,-19.3626889999538,-0.0559670146222569,-0.00531728109662017
2,0,180,-18.0829668637786,-0.0793876720273254,-0.011152207598104
